waktu,tweets,Sentiment
2022-12-22 06:13:47,yang jalan dalam bijak laku batas giat masyarakat atau ppkm,0
2022-12-22 04:11:00,presiden isyarat mungkin laku batas giat masyarakat ppkm di indonesia bakal d,0
2022-12-22 03:21:09,presiden joko widodo jokowi beber bahwan kasus covid di indonesia dalam tahun akhir sudah terkenda,0
2022-12-21 23:25:11,presiden joko widodo jokowi rencana henti bijak laku batas giat masyarakat ppkm d,1
2022-12-21 15:29:15,presiden joko widodo jokowi beri sinyal akan henti bijak laku batas giat masyar,1
2022-12-21 07:46:26,presiden joko widodo masih nanti seluruh menteri dan lembaga kait serah kaji untuk henti keb,1
2022-12-21 07:36:10,presiden joko widodo jokowi beri sinyal bakal henti bijak laku batas giat masya,0
2022-12-20 10:24:37,perintah rencana laku batas distribusi gas lpg kg kepada masyarakat jangan sampai laku keb,0
2022-12-19 03:20:39,perintah minta timbang dengan matang soal teknis rencana batas distribusi gas lpg kg,1
2022-12-18 13:49:36,bijak sebut sesuai dengan instruksi menteri dalam negeri bahwa status laku batas giat m,0
2022-12-18 04:49:36,perintah rencana laku batas distribusi gas lpg kg kepada masyarakat jangan sampai lak,0
2022-12-13 00:00:00,perintah juga laku bijak dengan panjang terap laku batas giat masyarakat ppk,0
2022-12-22 07:52:35,lalu muncul lagi varian omicron di mana kasus hari tembus ribu saat puncak,1
2022-12-22 07:52:23,kalau itu kata laku saat itu mungkin cerita akan lain saat ini kata dia,1
2022-12-22 07:52:20,satgas covid pasti seluruh wilayah jalan laku batas giat masyarakat atau ppkm level,0
2022-12-22 07:51:59,saat itu saya ingat hampir persen menteri saran saya untuk lockdown masuk masyarakat kata dia,1
2022-12-22 07:51:47,jokowi kembali cerita soal diri yang pernah tolak bijak lockdown saat varian delta masuk ke indonesia,1
2022-12-22 07:51:28,nyata presiden soal cabut ppkm pada akhir tahun ini nilai bahaya oleh epidemiolog kondisi p,1
2022-12-22 07:50:56,ppkm ya,0
2022-12-22 07:50:31,mungkin nanti akhir tahun kita akan nyata henti psbb batas sosial skala besar ppkm kita,1
2022-12-22 07:49:17,ppkm jelang nataru demi tangkal naik kasus covid,1
2022-12-22 07:48:11,telah laksana giat patroli dalam rangka laksana ppkm level batas mobilitas pindah masyaraka,0
2022-12-22 07:47:05,telah laksana giat patroli gabung dalam rangka laksana ppkm level batas mobilitas pindah ma,0
2022-12-22 07:46:39,ayo setop ppkm wkwk,1
2022-12-22 07:45:00,ppkm apa yh aku lupaa,1
2022-12-22 07:44:39,di cina bijak zerocovid kendor lalu mulai muncul berita atau omong bhw karena kendor itu makanya ka,1
2022-12-22 07:44:00,jokowi akan henti ppkm gibran kenapa enggak dari dulu baca lengkap di sini,1
2022-12-22 07:43:13,umum ini sampai jokowi susul kasus hari yang sudah makin landai,1
2022-12-22 07:43:06,dtunggu saldo nya  mo ppkm lagi ini,1
2022-12-22 07:42:12,presiden jokowi ppkm selesai akhir tahun,1
2022-12-22 07:41:16,presiden joko widodo beri sinyal untuk cabut segala batas sosial akibat covid,0
2022-12-22 07:40:20,lanjut saja ppkm sampai tanggung,0
2022-12-22 07:38:18,gibran dukung jokowi cabut ppkm virus sudah lunak,0
2022-12-22 07:35:22,telah laksana giat patroli gabung sama polsek sumberlawang dalam rangka laksana ppkm level i memb,0
2022-12-22 07:33:48,pemr sedang mgkaji untuk hapus ppkm eh ada cuit ky gin napa sih dia,1
2022-12-22 07:33:43,dickhead budiman asli ngeselin sih dia ga mau ppkm akhir,0
2022-12-22 07:30:00,aku udah bulan rumah doang enggak kemanamana sama sekali mana nganggur bingung gaada temen kerjaa,1
2022-12-22 07:28:40,planga plongo kaya meong wkwkwkw makas masbu sudah rescue si ppkm,1
2022-12-22 07:28:05,sabar cabut ppkm perintah minta tunggu telah nataru,1
2022-12-22 07:27:09,pernah gasih lu bingung banyak banget kerja terus bingung mau yang mana dulu akhir lu bengong doang ppkm planga plon,1
2022-12-22 07:27:08,jokowi akan henti ppkm apakah telah gugat rakyat gugat lanjut kok pak link,1
2022-12-22 07:26:18,jokowi isyarat ppkm akhir tahun depan,1
2022-12-22 07:22:54,ppkm ga ppkm gada beda juga di sini sejak tengah tahun  masker saja los sudah capek nih ,0
2022-12-22 07:22:34,anggota koramil sambungmacan laksana patroli ppkm level untuk kak disiplin prokes di wilayah kec sambu,1
2022-12-22 07:20:34,uda ga ingat sama ppkm apalagi pandemi pokok kudu full senyum,1
2022-12-22 07:20:03,rahmad mau prokes dan vaksinasi tak kendur saat ppkm cabut,1
2022-12-22 07:18:55,mengapa bukan ahli virus yang umum ya hati hati jokowi nyata akhir tahun henti ppkm wow keren,1
2022-12-22 07:18:44,ya saya ingin hapus ppkm cepat saja tapi kami tunggu instruksi lanjut negaranegara lain ka,1
