waktu,user,tweet
2022-04-01 07:36:43,KodimKarangany1,KARANGANYAR - Jum'at 01 April 2022 Serda Eko Santoso anggota Koramil 13/Jumantono bersama Polsek Jumantono melaksan… https://t.co/M8Y61BAZbJ
2022-04-01 07:36:32,KodimKarangany1,KARANGANYAR - Jum'at 01 April 2022 Serda Eko Santoso anggota Koramil 13/Jumantono bersama Polsek Jumantono melaksan… https://t.co/SJWnaeOMLu
2022-04-01 07:36:32,GoRiauCom,"RT @GoRiauCom: Masih PPKM Level 3, Kota Pekanbaru Sudah Masuk Zona Kuning Penularan Covid-19 https://t.co/RK0fpfQeHZ"
2022-04-01 07:36:07,KodimKarangany1,KARANGANYAR - Jum'at 01 April 2022 Serda Eko Santoso anggota Koramil 13/Jumantono bersama Polsek Jumantono melaksan… https://t.co/AUJxgqBhEi
2022-04-01 07:24:13,TheSillinez,@YesTalks Sejak ppkm melonggar 😴
2022-04-01 07:21:48,KopiManjah,PPKM jg perpanjang trus ga udah2 itu aspirasi sapa https://t.co/hRettaL9lV
2022-04-01 07:19:50,KodimKarangany1,KARANGANYAR - Jum'at 01 April 2022 Serda Didik anggota Koramil 13/Jumantono beserta Polsek Jumantono melaksanakan P… https://t.co/uBMuCwr4X1
2022-04-01 07:19:38,KodimKarangany1,KARANGANYAR - Jum'at 01 April 2022 Serda Didik anggota Koramil 13/Jumantono beserta Polsek Jumantono melaksanakan P… https://t.co/oE4x4PoOgr
2022-04-01 07:19:26,KodimKarangany1,KARANGANYAR - Jum'at 01 April 2022 Serda Didik anggota Koramil 13/Jumantono beserta Polsek Jumantono melaksanakan P… https://t.co/wfG85GrlXE
2022-04-01 07:13:55,alone_chabie,"Buruan ganti level donk PPKM'y.... 
Biar bisa liat anak pake baju sekolah lagi dan bisa kumpul sama temen sekolahny… https://t.co/RY0klqqV6V"
2022-04-01 07:10:05,anggi_siadari,"Kira2 apa lagi ya yang naik di bulan april selin pertamax dan ppn ? 

A. Kasus copid
B. Status PPKM
C. Gaji (mustahil) 
D. semua benar"
